"";"string";"cluster";"distanceToCenter"
"921";"zusammen";10;0
"922";"Kobayashi";25;8
"923";"Einfühlung";25;9
"924";"Wochentagen";25;10
"925";"Tierkollektionen";5;0
"926";"eingeleiteten";25;12
"927";"Stau";25;3
"928";"Summer";3;0
"929";"nicht besonders";74;12
"930";"Marbach";25;6
"931";"JTBC";90;0
"932";"Desire";25;5
"933";"Eppingen";77;0
"934";"Alabama";25;6
"935";"Wesentlichen";25;11
"936";"wiegen";25;5
"937";"Wiese";25;4
"938";"8-jährigen";44;8
"939";"Oswald Külpe";25;11
"940";"legen";25;4
"941";"Leitung";25;6
"942";"Inflationsbekämpfung";25;19
"943";"Führungskräften";25;14
"944";"Muskulatur";25;9
"945";"Landeplatz";25;9
"946";"Symbol";25;5
"947";"zollfreie";25;8
"948";"Schlüsselszene";25;13
"949";"Apotheose";25;8
"950";"pachtete";25;7
"951";"arsenici";39;0
